球員名稱,AVG,ISO,OPS+,tOPS+,BABIP,P/PA,Full_PA,End_PA,Full_RE24/PA,End_RE24/PA,,
申皓瑋,0.255,0.149,101.9,107.2,0.294,3.768,648,0,-0.011,0,,
董子恩,0.314,0.052,116.3,121.4,0.324,2.983,548,0,-0.044,0,,
李宗賢,0.237,0.091,80.9,85.4,0.274,3.741,527,0,-0.05,0,,
戴培峰,0.282,0.081,107.6,112.6,0.328,3.872,503,22,-0.007,0.036,,
范國宸,0.205,0.058,58.4,62.1,0.246,3.853,485,21,-0.01,0.121,,平均 ISO：0.092
王正棠,0.338,0.159,150.3,156.9,0.357,3.584,429,0,0,0,,平均 BABIP：0.307
高國麟,0.229,0.104,94.1,98.7,0.301,4.059,348,0,-0.034,0,,平均 P/PA：3.829
周佳樂,0.265,0.088,101.2,106,0.333,3.795,318,16,-0.1,-0.148,,
陳真,0.222,0.144,99.6,104.5,0.305,4.278,300,17,-0.026,0.074,,
池恩齊,0.29,0.054,111.7,116.6,0.403,3.724,292,0,-0.036,0,,
孔念恩,0.233,0.1,88.7,93.2,0.304,4.167,259,19,-0.062,0.116,,
王念好,0.257,0.095,104.8,109.7,0.38,3.989,219,13,-0.031,0.029,,
林哲瑄,0.168,0.032,39.8,42.8,0.221,4.348,187,0,-0.044,0,,
王勝偉,0.24,0.067,81.1,85.4,0.298,4.041,155,6,0.028,-0.226,,
林澤彬,0,0,-100,-100,0,3.667,154,20,-0.002,-0.088,,
葉子霆,0.167,0.019,17.8,20.4,0.196,3.746,144,0,-0.089,0,,
豊暐,0.143,0,-17.2,-15.2,0.167,3.429,139,10,-0.068,-0.183,,
蔡佳諺,0.2,0,15.9,18.6,0.333,4,109,0,-0.009,0,,
辛元旭,0.333,0.13,149.1,155.4,0.378,3.311,103,0,0.013,0,,
劉俊豪,0.417,0.167,201,208.8,0.556,3.733,96,11,-0.013,0.041,,
林岳谷,0,0,-100,-100,,6,81,22,-0.073,-0.056,,
張進德,0.214,0.107,76.6,80.9,0.25,3.806,77,0,-0.072,0,,
蔣智賢,0.258,0,75.2,79,0.348,3.657,72,0,-0.091,0,,
姚冠瑋,0.275,0.05,84,88.5,0.333,4.044,69,0,-0.067,0,,
張洺瑀,0,0,-100,-100,0,3,58,0,-0.102,0,,
